Time resolution is 1 ps
Time | PC       | IF_ID_INS | STALL | BUBBLE | EALU     | MALU     | WALU     | R8_DEBUG
-----|----------|-----------|-------|--------|----------|----------|----------|----------
20000 | 00000000 | 00000000 | 0 | 0 | 00000000 | 00000000 | 00000000 | 00000000
40000 | 00000004 | 3c010000 | 0 | 0 | 00000000 | 00000000 | 00000000 | 00000000
60000 | 00000008 | 34240050 | 0 | 0 | 00000000 | 00000000 | 00000000 | 00000000
80000 | 0000000c | 0c00001b | 0 | 0 | 00000050 | 00000000 | 00000000 | 00000000
100000 | 0000006c | 20050004 | 0 | 0 | 00000010 | 00000050 | 00000000 | 00000000
120000 | 00000070 | 00004020 | 0 | 0 | 00000004 | 00000010 | 00000050 | 00000000
140000 | 00000074 | 8c890000 | 0 | 0 | 00000000 | 00000004 | 00000010 | 00000000
160000 | 00000078 | 01094020 | 1 | 1 | 00000050 | 00000000 | 00000004 | 00000000
180000 | 00000078 | 01094020 | 0 | 0 | 00000000 | 00000050 | 00000000 | 00000000
200000 | 0000007c | 20a5ffff | 0 | 0 | 000000a3 | 00000000 | 000000a3 | 00000000
220000 | 00000080 | 14a0fffc | 0 | 0 | 00000003 | 000000a3 | 00000000 | 00000000
240000 | 00000070 | 20840004 | 0 | 0 | 00000003 | 00000003 | 000000a3 | 00000000
260000 | 00000074 | 8c890000 | 0 | 0 | 00000054 | 00000003 | 00000003 | 000000a3
280000 | 00000078 | 01094020 | 1 | 1 | 00000054 | 00000054 | 00000003 | 000000a3
300000 | 00000078 | 01094020 | 0 | 0 | 00000000 | 00000054 | 00000054 | 000000a3
320000 | 0000007c | 20a5ffff | 0 | 0 | 000000ca | 00000000 | 00000027 | 000000a3
340000 | 00000080 | 14a0fffc | 0 | 0 | 00000002 | 000000ca | 00000000 | 000000a3
360000 | 00000070 | 20840004 | 0 | 0 | 00000002 | 00000002 | 000000ca | 000000a3
380000 | 00000074 | 8c890000 | 0 | 0 | 00000058 | 00000002 | 00000002 | 000000ca
400000 | 00000078 | 01094020 | 1 | 1 | 00000058 | 00000058 | 00000002 | 000000ca
420000 | 00000078 | 01094020 | 0 | 0 | 00000000 | 00000058 | 00000058 | 000000ca
440000 | 0000007c | 20a5ffff | 0 | 0 | 00000143 | 00000000 | 00000079 | 000000ca
460000 | 00000080 | 14a0fffc | 0 | 0 | 00000001 | 00000143 | 00000000 | 000000ca
480000 | 00000070 | 20840004 | 0 | 0 | 00000001 | 00000001 | 00000143 | 000000ca
500000 | 00000074 | 8c890000 | 0 | 0 | 0000005c | 00000001 | 00000001 | 00000143
520000 | 00000078 | 01094020 | 1 | 1 | 0000005c | 0000005c | 00000001 | 00000143
540000 | 00000078 | 01094020 | 0 | 0 | 00000000 | 0000005c | 0000005c | 00000143
560000 | 0000007c | 20a5ffff | 0 | 0 | 00000258 | 00000000 | 00000115 | 00000143
580000 | 00000080 | 14a0fffc | 0 | 0 | 00000000 | 00000258 | 00000000 | 00000143
600000 | 00000084 | 20840004 | 0 | 0 | 00000000 | 00000000 | 00000258 | 00000143
620000 | 00000088 | 03e00008 | 0 | 0 | 00000060 | 00000000 | 00000000 | 00000258
640000 | 00000010 | 00081000 | 0 | 0 | 00000018 | 00000060 | 00000000 | 00000258
660000 | 00000014 | ac820000 | 0 | 0 | 00000258 | 00000018 | 00000060 | 00000258
680000 | 00000018 | 8c890000 | 0 | 0 | 00000060 | 00000258 | 00000018 | 00000258
700000 | 0000001c | 01244022 | 1 | 1 | 00000060 | 00000060 | 00000258 | 00000258
720000 | 0000001c | 01244022 | 0 | 0 | 00000000 | 00000060 | 00000060 | 00000258
740000 | 00000020 | 20050003 | 0 | 0 | 000001f8 | 00000000 | 00000258 | 00000258
760000 | 00000024 | 20a5ffff | 0 | 0 | 00000003 | 000001f8 | 00000000 | 00000258
780000 | 00000028 | 34a8ffff | 0 | 0 | 00000002 | 00000003 | 000001f8 | 00000258
800000 | 0000002c | 39085555 | 0 | 0 | 0000ffff | 00000002 | 00000003 | 000001f8
820000 | 00000030 | 2009ffff | 0 | 0 | 0000aaaa | 0000ffff | 00000002 | 000001f8
840000 | 00000034 | 312affff | 0 | 0 | ffffffff | 0000aaaa | 0000ffff | 000001f8
860000 | 00000038 | 01493025 | 0 | 0 | 0000ffff | ffffffff | 0000aaaa | 0000ffff
880000 | 0000003c | 01494026 | 0 | 0 | ffffffff | 0000ffff | ffffffff | 0000aaaa
900000 | 00000040 | 01463824 | 0 | 0 | ffff0000 | ffffffff | 0000ffff | 0000aaaa
920000 | 00000044 | 10a00003 | 0 | 0 | 0000ffff | ffff0000 | ffffffff | 0000aaaa
940000 | 00000048 | 00000000 | 0 | 0 | 00000002 | 0000ffff | ffff0000 | 0000aaaa
960000 | 0000004c | 08000008 | 0 | 0 | 00000000 | 00000002 | 0000ffff | ffff0000
980000 | 00000020 | 00000000 | 0 | 0 | 00000008 | 00000000 | 00000002 | ffff0000
